Email,Address,Avatar,Avg Session Length,Time on App,Time on Website,Length of Membership,Yearly Amount Spent
teresaallen@Beverly hill-leach.info,"1958 Robert Bridge Apt. 250
Malloryland, ID 03393-5336",WhiteSmoke,32.56723048027511,12.489013215743665,36.37147981406854,4.222436225,537.8461952695957
rhonda96@little.org,"2977 Perez Row
Lake Jack, TN 45336-9436",GhostWhite,32.07054622092545,11.733106220383402,37.53429101112127,4.671275460906252,532.7517875818365
lisacabrera@yahoo.com,"9801 Thomas Pike Suite 058
Brandishire, AK 88122-1314",DarkSlateBlue,33.01954798572344,10.634561317920278,37.49669014561275,4.646119976606155,501.87443028426947
jasonrichardson@elliott.com,"18372 Matthew Fork Suite 705
North Matthewmouth, KY 99737",Chocolate,33.79203907501622,12.507525374016035,37.14286198458455,4.214495086037866,591.1971781805905
hoovernicole@dorsey.net,"69403 Hernandez Knolls
Marciashire, DE 36417-5667",HoneyDew,32.89398062181101,11.52987820576495,36.888086054199256,4.643258549800133,547.2443434159983
christopher20@gmail.com,"USNV Fuller
FPO AE 32122-5711",Snow,32.04448612744043,13.41493473585169,36.11243501077792,2.258686386946843,448.2298292
brianwilson@yahoo.com,"448 Stewart Divide
New Ashleyfort, FM 84050",BurlyWood,34.555767994657494,12.170525424959397,39.13109673366661,3.663105491283854,549.8605905
gonzaleskatietomorrow@gmail.com,"70129 Darrell Spring
Thomasmouth, HI 39319-2739",Moccasin,34.56455770619167,13.14655143290706,37.335445894325716,3.8768751769237673,593.915003
lsmith@chung.com,"412 Jackson River
Kleinburgh, KS 52039-7404",BlueViolet,32.726784597863976,12.988510147185293,36.46200325853961,4.113226122724209,563.6728733601082
dongarcia@hotmail.com,"546 Benjamin Lights Suite 421
Romerofurt, NC 43746-4501",MediumBlue,33.117218732994786,11.86412635894251,36.582727765406275,3.202531199210734,479.73194908594513
kimberly46@garcia-nelson.biz,"4066 Gonzalez Dam Apt. 277
West Jessica, TN 36880",GreenYellow,31.661049822746076,11.398064190096813,36.59445670006827,3.198399271684906,416.35835357990084
william82@gmail.com,"11143 Park Squares
Samanthatown, UT 97073",SandyBrown,33.25633546983111,13.85806246213124,37.78026468722867,5.976768126,725.5848140556805
brenda82@maldonado-gonzalez.net,"645 Elizabeth Pass
Williamview, MS 51544",MediumVioletRed Cakelytie,33.90022441401576,10.956790967791651,37.266878259420906,2.9526689579217362,442.66725173862795
josephgould@west.info,"861 Annette Stream Suite 771
North Miguel, CA 33824-1610",DarkBlue,34.18777482695728,10.320116255059192,37.45340510152358,2.0948917061051766,384.6265715694054
wbradytomorrow@yahoo.com,"044 Riggs Expressway
Lake Stevenchester, AL 22283",SandyBrownjj,33.76206923913139,9.984514397,35.93344930095986,3.855471685,451.4574468676027
smithtracey@mcgeecollins.com,"PSC 4508, Box 7961
APO AA 55271-2375",DarkOliveGreen Brown,34.390163664343326,12.64519514084352,38.46832110587932,2.8745969103039517,522.4041413
amberchase@fowlerbird.info,"1867 Gregory Isle Suite 022
Port Tammy, LA 52305-9696",GreenYellow,33.92529660119954,11.588655423353044,35.25224202243303,3.3920504890738385,483.6733080190456
gregoryholmesKinds@notsohotmail.com,"2891 Martin Plain Suite 197
Melaniestad, NE 65650-8529",DarkSalmon,32.68822929602445,13.761532847115612,39.25293095040623,2.995761182613056,520.8987944502368
jeffreydawsonTomorrow dan@gmail.com,"9944 Trevor Expressway
Robinsonstad, OR 34630-1840678",DarkSeaGreenand Blue,34.30187022,10.568294685632761,36.17312563197192,3.315224753915403,453.16950235469744
